"","id","Longitude","Latitude","JLSA","A1","A3","A9","A10","B3","B4","C1","C2","C7","D2","D5","D6","F3","F5","G2","I14","I22","I23","I24","I25","H6","H8"
"1",48987,-108.194398,25.195086,"Angostura","Si","0","Entierro sin tratar","Entierro sin tratar","Si","Si","Si","Si","ninguno","0","0","ImportaciÌ_n de larvas","27","8","19","Si","Si","0","Si","Si","Si","Si"
"2",48987,0,0,"Navolato Norte","0","0","0","Incineraci—n","Si","0","Si","Si","ninguno","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",52599,0,0,"Eldorado","Si","Si","Entierro con cal y tierra","Incineraci—n","Si","Si","Si","Si",NA,"0","Si",NA,"1","10/M2","16","Si","0","0","0","Si","0","Si"
"4",53256,-106.129131,22.962064,"Rosario","0","0","Incineraci—n","Incineraci—n","0","Si","0","Si","ninguno","0","Si","Siembra de organismos silvestres","3","120","6","0","0","0","0","0","0","Si"
"5",53348,-107.71912,24.5288,"Navolato Sur","Si","Si","Incineraci—n","Incineraci—n","Si","Si","Si","Si","filtracion","Si","Si","ImportaciÌ_n de reproductores","38","10","15","Si","Si","Si","Si","Si","Si","Si"
"6",53434,0,0,"Eldorado","Si","Si","Entierro con cal y tierra","Entierro sin tratar","Si","Si","Si","0","filtracion","0","0",NA,"1","10","7","Si",NA,NA,"0","Si","0","Si"
"7",53446,-109.313344,26.109397,"Ahome","Si","Si","Incineraci—n","Incineraci—n","Si","0","0","0","ninguno","Si","Si","ImportaciÌ_n de larvas; ImportaciÌ_n de reproductores","3","10","12","Si","0",NA,"0","0","0","Si"
"8",53446,0,0,"Ahome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",53449,-106.315464,23.165622,"Mazatl‡n-San Ignacio","0","0","Entierro sin tratar","Incineraci—n","0","Si","0","Si","ninguno","Si","Si","Siembra de organismos silvestres","4",NA,"20","0","0","0","0","Si","0","Si"
"10",53449,0,0,"Mazatl‡n-San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",53505,-109.380131,26.068628,"Ahome","Si","0","Entierro con cal y tierra","Incineraci—n","Si","0","0","Si","ninguno","Si","Si","ImportaciÌ_n de reproductores; ImportaciÌ_n de larvas","14","10","9","Si","0",NA,"0","0","0","Si"
"12",53520,0,0,"Eldorado","Si","Si","Entierro con cal y tierra","Entierro sin tratar","0","Si","Si","Si","filtracion","0","Si",NA,"2","7.5/M2","28","Si","0","0","0","Si","0","Si"
"13",53658,0,0,"Mazatl‡n-San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
